"Search Phrase","Category","Product ID","Product","Brand or Artist","Release","Format","List Price","Sale Price","Discount","%","Comm.","Bestseller","Rating","Reviews","Link"
"","","B008TQARY6","Quilted Northern Ultra Plush Double Roll Toilet Tissue-White-12 ct","","","","","$16.62","","","$0.66","","5.0","5","http://www.amazon.com/Quilted-Northern-Double-Toilet-Tissue-White-12/dp/B008TQARY6/ref=sr_1_15/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-15&keywords=Northern&tag=dummyaffliate"
"","","B00NG3UK9E","Dragon Brand - Green Dragon Tincture - Medicinal CBD Drops - CBD Oil Rich Cannabis Hemp","","","","","$29.99","","","$1.20","","5.0","4","http://www.amazon.com/Dragon-Brand-Tincture-Medicinal-Cannabis/dp/B00NG3UK9E/ref=sr_1_101/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473604&sr=1-101&keywords=Northern&tag=dummyaffliate"
"","","B007RFJUXE","Northern Detoxifying Soap with Charcoal for a Deep Purifying Effect 120g (Natura Siberica)","","","","","$8.99","","","$0.36","","5.0","4","http://www.amazon.com/Northern-Detoxifying-Purifying-Natura-Siberica/dp/B007RFJUXE/ref=sr_1_116/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473604&sr=1-116&keywords=Northern&tag=dummyaffliate"
"","","B001CCB7Y8","Northern Light Technologies SADelite","","","","","$200.00","","","$8.00","","5.0","1","http://www.amazon.com/Northern-Light-Technologies-SADelite/dp/B001CCB7Y8/ref=sr_1_18/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473595&sr=1-18&keywords=Northern&tag=dummyaffliate"
"","","B0064O7K72","Lumie Body Clock","","","","","$180.00","","","$7.20","","5.0","1","http://www.amazon.com/Lumie-NTL-250-Body-Clock/dp/B0064O7K72/ref=sr_1_53/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-53&keywords=Northern&tag=dummyaffliate"
"","","B008C6IHS6","Quilted Northern Ultra Plush 30 Jumbo Rolls= 91 Regular Rolls","","","","","$29.95","","","$1.20","","5.0","1","http://www.amazon.com/Quilted-Northern-Ultra-Plush-Regular/dp/B008C6IHS6/ref=sr_1_55/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-55&keywords=Northern&tag=dummyaffliate"
"","","B00M3CGHYQ","BWI Christmas Assortment 110-Sheets 20"" x 20"" Tissue Paper - Red, Green & White","","","","$16.99","$9.99","$7.00","41.2%","$0.40","","5.0","1","http://www.amazon.com/Christmas-Assortment-110-Sheets-Tissue-Paper/dp/B00M3CGHYQ/ref=sr_1_94/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473601&sr=1-94&keywords=Northern&tag=dummyaffliate"
"","","B003K0FQP6","Bulbrite 40R14 40-Watt Incandescent R14 Mini Reflector Light Bulb, Standard Base","","","","","$5.95","","","$0.24","","5.0","1","http://www.amazon.com/Bulbrite-40R14-Incandescent-Reflector-Standard/dp/B003K0FQP6/ref=sr_1_120/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473604&sr=1-120&keywords=Northern&tag=dummyaffliate"
"","","B00NR8L902","Scented, Natural Soy Wax Candles. Burns Clean, Even, and True-To-Scent for Hours. Perfect as a gift, or for your...","","","","$30.99","$25.00","$5.99","19.3%","$1.00","","4.9","271","http://www.amazon.com/Candles-Hand-poured-different-candles-Cranberry/dp/B00NR8L902/ref=sr_1_52/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-52&keywords=Northern&tag=dummyaffliate"
"","","B00BND42NE","Kobi Electric K6L8 15-watt (70-Watt) PAR38 LED 3000K Warm White Outdoor Light Bulb, Non-Dimmable","","","","$30.00","$29.24","$0.76","2.5%","$1.17","","4.8","143","http://www.amazon.com/Electric-15-watt-70-Watt-Outdoor-Non-Dimmable/dp/B00BND42NE/ref=sr_1_62/190-9749015-2691453?s=hpc&ie=UTF8&qid=1415473599&sr=1-62&keywords=Northern&tag=dummyaffliate"
